country,country_code,iso3_code,parent_country,nuts2_id,nuts2_name,source_layer,forest_area_kha,forest_carbon_stock_mt_c,naturally_regenerating_forest_kha,planted_forest_kha,primary_forest_kha,roundwood_m3,industrial_roundwood_m3,wood_fuel_m3,sawnwood_m3,wood_pellets_t,selected_food_crop_area_kha,selected_food_production_kt,food_production_intensity_index,forest_area_ha,forest_carbon_stock_mtco2e,carbon_stock_density_tco2e_per_ha,harvest_total_m3,harvest_intensity_m3_per_ha,wood_fuel_share,naturally_regenerating_share,planted_share,primary_forest_share,material_recovery_ratio,biodiversity_pressure_proxy,has_positive_forest_area,has_positive_baseline_harvest,forest_policy_eligible,selected_food_crop_area_ha,selected_food_crop_share_of_forest_area,forest_carbon_opportunity_cost_tco2e_per_m3
Stockholm,SE,SWE,Sweden,SE11,Stockholm,sweden_slu_empirical,317.0,21.0,218.89727214147635,98.10272785852366,23.785780768955394,1139755.2907762113,1049221.5371826398,90533.7535935714,289384.6766651657,25478.78493990509,0.0,0.0,0.0,317000.0,77.0,242.90220820189273,1139755.2907762113,3.5954425576536635,0.07943262411347518,0.6905276723705879,0.3094723276294122,0.07503400873487506,0.275808936825886,2.4827525804787376,True,True,True,0.0,0.0,0.5835812824964315
Östra Mellansverige,SE,SWE,Sweden,SE12,Östra Mellansverige,sweden_slu_empirical,2423.0,145.5,1673.1485501539344,749.8514498460657,181.80740316460228,9192520.175955111,8462334.176162932,730185.9997921791,2333987.392192858,205495.2027986561,0.0,0.0,0.0,2423000.0,533.5,220.18159306644657,9192520.175955111,3.7938589252806896,0.07943262411347518,0.6905276723705879,0.3094723276294122,0.07503400873487506,0.275808936825886,2.6197645729764547,True,True,True,0.0,0.0,0.584314858724515
Småland med öarna,SE,SWE,Sweden,SE21,Småland med öarna,sweden_slu_empirical,2217.5,133.0,1531.2451134817786,686.2548865182215,166.38791436958545,8253610.889820235,7598004.9184302585,655605.9713899761,2095597.6585501023,184506.25194832185,0.0,0.0,0.0,2217500.0,487.66666666666663,219.9173243141676,8253610.889820235,3.722034223143285,0.07943262411347518,0.6905276723705879,0.3094723276294122,0.07503400873487506,0.275808936825886,2.5701676285908017,True,True,True,0.0,0.0,0.5813223417148217
Sydsverige,SE,SWE,Sweden,SE22,Sydsverige,sweden_slu_empirical,634.2,43.5,437.93264981742686,196.2673501825732,47.58656833965777,2957136.9194000904,2722243.774029303,234893.14537078733,750819.1610959094,66105.64234006443,0.0,0.0,0.0,634200.0,159.5,251.49795017344687,2957136.9194000904,4.662782906654195,0.07943262411347518,0.6905276723705879,0.3094723276294122,0.07503400873487506,0.275808936825886,3.2197806273012857,True,True,True,0.0,0.0,0.6295508819668536
Västsverige,SE,SWE,Sweden,SE23,Västsverige,sweden_slu_empirical,2957.4,186.5,2042.1665382687765,915.2334617312237,221.90557743251952,11369471.095563022,10466364.171660144,903106.9239028783,2886716.774618129,254160.09144123862,0.0,0.0,0.0,2957400.0,683.8333333333333,231.22788034534835,11369471.095563022,3.8444143827561446,0.07943262411347517,0.6905276723705879,0.3094723276294122,0.07503400873487506,0.275808936825886,2.654674515352611,True,True,True,0.0,0.0,0.5899099596810298
Norra Mellansverige,SE,SWE,Sweden,SE31,Norra Mellansverige,sweden_slu_empirical,3498.5,172.5,2415.811061788502,1082.6889382114985,262.5064795589604,10596000.311731495,9754332.201863462,841668.1098680337,2690331.9940424645,236869.4537771466,0.0,0.0,0.0,3498500.0,632.5,180.7917679005288,10596000.311731495,3.0287266862173774,0.07943262411347518,0.6905276723705879,0.3094723276294122,0.07503400873487506,0.2758089368258859,2.0914195888803695,True,True,True,0.0,0.0,0.5406870388927238
Mellersta Norrland,SE,SWE,Sweden,SE32,Mellersta Norrland,sweden_slu_empirical,4391.2,231.0,3032.2451149137255,1358.9548850862748,329.48933915658336,13042170.343943749,12006196.529389352,1035973.8145543971,3311416.300093519,291552.63066745177,0.0,0.0,0.0,4391200.0,847.0,192.88577154308618,13042170.343943749,2.970069763149879,0.07943262411347518,0.6905276723705879,0.3094723276294122,0.07503400873487506,0.275808936825886,2.050915360326149,True,True,True,0.0,0.0,0.5421975480265411
Övre Norrland,SE,SWE,Sweden,SE33,Övre Norrland,sweden_slu_empirical,7151.1,298.0,4938.032437889311,2213.06756211069,536.575699863965,13949334.972810088,12841302.69128191,1108032.2815281772,3541746.042741852,311831.94208721555,0.0,0.0,0.0,7151100.0,1092.6666666666665,152.79700558888374,13949334.972810086,1.9506558393547966,0.0794326241134752,0.6905276723705879,0.30947232762941224,0.07503400873487506,0.275808936825886,1.346981836345763,True,True,True,0.0,0.0,0.4880513135084346
