nuts2_id,nuts2_name,country,country_code,total_area_km2,total_land_area_ha,woodland_area_km2,cropland_area_km2,grassland_area_km2,agricultural_land_area_km2,feed_land_area_km2,woodland_share_of_land,cropland_share_of_land,grassland_share_of_land,agricultural_land_share_of_land,feed_land_share_of_agricultural_land,permanent_crop_share_of_agricultural_land,cropland_share_of_agricultural_land,share_of_country_woodland,modal_scenario_share_best,regional_estimated_forest_area_ha,regional_baseline_harvest_m3,optimized_regional_harvest_after_policy_m3,optimized_regional_harvest_change_m3,selected_food_crop_area_kha,selected_food_production_kt,food_production_intensity_index,optimized_policy,optimized_policy_label,optimized_policy_description,optimized_policy_type,optimized_target_area_ha,optimized_target_cropland_area_ha,optimized_policy_changed_harvest_m3,optimized_policy_delta_biodiversity_pressure_proxy,optimized_food_land_proxy_tco2e_per_ha,optimized_food_capacity_indexed_ha,optimized_policy_benefit_tco2e,optimized_policy_benefit_tco2e_per_ha_land,optimized_policy_value_eur,optimized_policy_value_eur_per_ha_land,optimized_policy_benefit_tco2e_per_land_ha,optimized_policy_value_eur_per_land_ha,optimized_policy_benefit_tco2e_per_forest_ha,optimized_policy_value_eur_per_forest_ha,forest_policy_eligible,policy_option_eligible,is_forest_only,includes_food_policy,available_policy_options,excluded_policy_categories,selected_policy,selected_policy_label,selected_policy_value_eur_per_ha_land,selected_policy_value_eur_per_land_ha,switch_from_unconstrained,optimized_minus_unconstrained_value_eur_per_ha_land,optimized_minus_unconstrained_value_eur_per_land_ha
FI20,Åland,Finland,FI,6723.0,672300.0,1060.0,975.0,4041.0,5016.0,4041.0,0.1576677078685111,0.14502454261490405,0.6010709504685409,0.7460954930834449,0.805622009569378,0.0,0.194377990430622,0.43071921982933764,0.625,9709703.372612758,27760028.15928484,27760028.15928484,0.0,977.1100000000001,4242.48,1.0007069351118483,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,106000.0,0.0,1962651.0,0.0,0.0,0.0,608653.0854124319,0.9053295930573135,60865308.54124319,90.53295930573135,0.9053295930573135,90.53295930573135,0.06268503393514596,6.268503393514596,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,137.59071159756823,137.59071159756823,True,-47.05775229183688,-47.05775229183688
FI1B,Helsinki-Uusimaa,Finland,FI,3580.0,358000.0,489.0,673.0,1958.0,2631.0,1958.0,0.13659217877094973,0.18798882681564247,0.5469273743016759,0.7349162011173185,0.7442037248194603,0.0,0.2557962751805397,0.19869971556277935,0.625,4479287.687931735,12806277.141405933,12806277.141405933,0.0,977.1100000000001,4242.48,1.0007069351118483,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,48900.0,0.0,1962651.0,0.0,0.0,0.0,280784.3007232822,0.7843136891711794,28078430.072328225,78.43136891711795,0.7843136891711794,78.43136891711795,0.06268503393514593,6.268503393514595,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,119.19888561727907,119.19888561727907,True,-40.767516700161124,-40.767516700161124
FI19,Länsi-Suomi,Finland,FI,3580.0,358000.0,470.0,761.0,2011.0,2772.0,2011.0,0.13128491620111732,0.21256983240223465,0.5617318435754189,0.7743016759776536,0.7254689754689755,0.0,0.2745310245310245,0.1909792767167818,0.625,4305245.835026412,12308691.731003657,12308691.731003657,0.0,977.1100000000001,4242.48,1.0007069351118483,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,47000.0,0.0,1962651.0,0.0,0.0,0.0,269874.4812677764,0.7538393331502135,26987448.12677764,75.38393331502135,0.7538393331502135,75.38393331502135,0.06268503393514595,6.268503393514595,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,114.56743607386743,114.56743607386743,True,-39.183502758846075,-39.183502758846075
FI1C,Etelä-Suomi,Finland,FI,3566.0,356600.0,442.0,519.0,1984.0,2503.0,2151.0,0.12394840157038699,0.14554122265844083,0.5563656758272574,0.7019068984856983,0.8593687574910108,0.0,0.20735117858569715,0.17960178789110118,0.625,4048763.1044290937,11575407.968305567,11575407.968305567,0.0,977.1100000000001,4242.48,1.0007069351118483,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,44200.0,0.0,1962651.0,0.0,0.0,0.0,253796.8525965046,0.711712991016558,25379685.25965046,71.1712991016558,0.711712991016558,71.1712991016558,0.06268503393514595,6.268503393514595,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,108.16513415463112,108.16513415463112,True,-36.993835052975314,-36.993835052975314
LT02,Vidurio ir vakarų Lietuvos regionas ,Lithuania,LT,4788.0,478800.0,618.0,846.0,2250.0,3096.0,2398.0,0.12907268170426064,0.17669172932330826,0.4699248120300752,0.6466165413533834,0.774547803617571,0.0035529715762273903,0.27325581395348836,0.6130952380952381,0.59,1357092.4404761905,4693244.047619048,4693244.047619048,0.0,1540.5900000000001,6729.17,0.9961291110581671,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,61800.0,0.0,424800.0,0.0,0.0,0.0,187518.85714285716,0.3916433941997852,18751885.714285716,39.164339419978525,0.3916433941997852,39.164339419978525,0.1381769226251519,13.817692262515191,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,44.16205200185044,44.16205200185044,True,-4.997712581871916,-4.997712581871916
PT1B,Península de Setúbal,Portugal,PT,5457.0,545700.0,1467.0,526.0,2462.0,2988.0,2574.0,0.26882902693787797,0.0963899578522998,0.4511636430273044,0.5475536008796041,0.8614457831325302,0.0,0.17603748326639893,0.22083396055998797,0.6125,741335.6305885896,3220505.784585278,3220505.784585278,0.0,297.84,4165.42,0.9848447330533466,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,146700.0,0.0,668423.2000000001,0.0,0.0,0.0,106279.59066204954,0.19475827499001197,10627959.066204954,19.4758274990012,0.19475827499001197,19.4758274990012,0.1433623129346528,14.336231293465278,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,23.427313637066554,23.427313637066554,True,-3.9514861380653556,-3.9514861380653556
SI04,Zahodna Slovenija,Slovenia,SI,7481.0,748100.0,1079.0,2304.0,3110.0,5414.0,3110.0,0.14423205453816335,0.30798021654858976,0.4157198235530009,0.7237000401015907,0.5744366457332841,0.0,0.42556335426671593,0.5032649253731343,0.68,625863.280783582,2382758.618936567,2382758.618936567,0.0,110.28,834.0900000000001,0.9966053087488413,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,107900.0,0.0,288680.0,0.0,0.0,0.0,104603.41343283583,0.1398254423644377,10460341.343283582,13.982544236443767,0.1398254423644377,13.982544236443767,0.16713460694142682,16.713460694142682,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,17.68080757403007,17.68080757403007,True,-3.6982633375863028,-3.6982633375863028
SI03,Vzhodna Slovenija,Slovenia,SI,7481.0,748100.0,1065.0,2528.0,3231.0,5759.0,3231.0,0.1423606469723299,0.33792273760192487,0.4318941318005614,0.7698168694024863,0.5610349018926897,0.0,0.43896509810731027,0.49673507462686567,0.68,617742.7192164179,2351842.381063433,2351842.381063433,0.0,110.28,834.0900000000001,0.9966053087488413,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,106500.0,0.0,288680.0,0.0,0.0,0.0,103246.1865671642,0.13801121048945889,10324618.65671642,13.80112104894589,0.13801121048945889,13.80112104894589,0.16713460694142684,16.713460694142682,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,17.451399505414297,17.451399505414297,True,-3.650278456468408,-3.650278456468408
PT1D,Oeste e Vale do Tejo,Portugal,PT,4158.0,415800.0,985.0,1064.0,1515.0,2579.0,1515.0,0.2368927368927369,0.2558922558922559,0.3643578643578644,0.6202501202501203,0.5874369910818147,0.0,0.41256300891818537,0.1482763811530935,0.6125,497761.14255607413,2162370.959656782,2162370.959656782,0.0,297.84,4165.42,0.9848447330533466,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,98500.0,0.0,668423.2000000001,0.0,0.0,0.0,71360.18868583422,0.1716214254108567,7136018.868583422,17.16214254108567,0.1716214254108567,17.16214254108567,0.1433623129346528,14.33623129346528,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,20.644200921099547,20.644200921099547,True,-3.482058380013875,-3.482058380013875
PT1A,Grande Lisboa,Portugal,PT,5463.0,546300.0,1245.0,784.0,2559.0,3343.0,2559.0,0.22789676002196596,0.14351089145158338,0.4684239428885228,0.6119348343401062,0.7654801076877057,0.0,0.23451989231229434,0.18741532440162578,0.6125,629149.8705404185,2733149.0809875056,2733149.0809875056,0.0,297.84,4165.42,0.9848447330533466,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,forest_biomass,124500.0,0.0,668423.2000000001,0.0,0.0,0.0,90196.38062321178,0.16510411975693168,9019638.062321179,16.51041197569317,0.16510411975693168,16.51041197569317,0.1433623129346528,14.33623129346528,True,True,False,True,conservation_priority|material_cascade|bioenergy_push|food_land_safeguard,,conservation_priority,Conservation Priority,19.860239553445414,19.860239553445414,True,-3.3498275777522437,-3.3498275777522437
