country,country_code,iso3_code,scenario,scenario_label,scenario_description,forest_area_ha,harvest_total_m3,industrial_roundwood_m3,wood_fuel_m3,changed_harvest_m3,shifted_volume_m3,harvest_intensity_m3_per_ha,biodiversity_pressure_proxy,delta_biodiversity_pressure_proxy,supply_chain_savings_tco2e,substitution_gain_tco2e,forest_carbon_retention_tco2e,net_climate_benefit_tco2e,net_climate_benefit_tco2e_per_ha,benefit_tco2e_per_forest_ha,marginal_climate_benefit_tco2e_per_changed_m3,carbon_value_eur,carbon_value_eur_per_ha,value_eur_per_forest_ha,value_metric_basis,is_forest_only,includes_food_policy,available_policy_options,excluded_policy_categories,forest_policy_eligible,forest_carbon_opportunity_cost_tco2e_per_m3,carbon_stock_density_tco2e_per_ha,wood_fuel_share_baseline,material_recovery_ratio,naturally_regenerating_share,planted_share
Germany,DE,DEU,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",11476600.0,60207110.75,47296313.0,12910797.75,10624784.25,0.0,5.246075558092118,2.623037779046059,-0.46288901983165776,1062478.4249999998,-4249913.700000003,7776441.981507964,4589006.706507961,0.39985768489865997,0.39985768489865997,0.4319152839746333,458900670.6507961,39.985768489866,39.985768489866,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.7319152839746333,379.98112100564043,0.33227378711243005,0.49105891192829343,0.5,0.5
Greece,EL,GRC,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,4762800.0,1138022.0,532378.0,605644.0,151411.0,151411.0,0.23893969933652473,0.23040463360877572,0.0,3028.220000000001,105987.70000000007,0.0,109015.92000000007,0.022889040060468647,0.022889040060468647,0.7200000000000004,10901592.000000007,2.288904006046865,2.288904006046865,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.39305330028074054,72.78211696201114,0.6652375788868756,0.2667658878590534,0.9642794154698916,0.03572058453010834
Hungary,HU,HUN,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,2081295.9999999998,5515720.0,3514809.6,2000910.4,500227.60000000003,500227.60000000003,2.6501372221923267,1.6448326717269988,0.0,10004.551999999909,350159.3200000003,0.0,360163.8720000002,0.17304788554823544,0.17304788554823544,0.7200000000000004,36016387.20000002,17.304788554823542,17.304788554823542,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.5435126145703632,237.29701749935296,0.4534563030755731,0.12574247441270464,0.6206594352749442,0.37934056472505595
Ireland,IE,IRL,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,824944.0,3890000.0,3701200.0,188800.0,47200.0,47200.0,4.7154715956477045,0.6646465399536605,0.0,944.0,33040.0,0.0,33984.0,0.04119552357493357,0.04119552357493357,0.72,3398400.0,4.119552357493357,4.119552357493357,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.6354658711966814,263.271203863535,0.060668380462724936,0.277504105090312,0.1409501735875405,0.8590498264124595
Italy,IT,ITA,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,9409470.0,14839000.0,6167800.0,8671200.0,2167800.0,2167800.0,1.577028249200008,1.4722996304644038,0.0,43356.0,1517460.0,0.0,1560816.0,0.1658771429209084,0.1658771429209084,0.72,156081600.0,16.58771429209084,16.58771429209084,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.4973776390043358,228.9134244542997,0.7304400566075882,0.4761515,0.9335911586943793,0.06640884130562083
Latvia,LV,LVA,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",3460394.0,13642500.0,11550000.0,2092500.0,2407500.0,0.0,3.9424701349037132,3.305268604710979,-0.5832826949489962,240750.0,-963000.0,1559493.377550101,837243.3775501009,0.24195030321694608,0.24195030321694608,0.3477646428037802,83724337.7550101,24.19503032169461,24.19503032169461,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.6477646428037808,311.2942244919701,0.2803738317757009,0.25659705627705626,0.8383750520894443,0.16162494791055584
Lithuania,LT,LTU,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",2213510.0,6506750.0,5531000.0,975750.0,1148250.0,0.0,2.9395620530289,2.1576354393812522,-0.38075919518492674,114825.0,-459300.0,689360.9032762763,344885.9032762763,0.15580950764906248,0.15580950764906248,0.3003578517537786,34488590.32762763,15.580950764906248,15.580950764906248,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.6003578517537786,312.4081963337264,0.2774657086871326,0.2950641836919183,0.7339989428554647,0.26600105714453515
Luxembourg,LU,LUX,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",88700.0,237338.7,228586.0,8752.700000000004,41883.299999999996,0.0,2.6757463359639235,1.770758849166655,-0.3124868557352918,4188.330000000002,-16753.320000000007,25443.299743142416,12878.30974314241,0.1451895123240407,0.1451895123240407,0.30748077976526234,1287830.974314241,14.518951232404069,14.518951232404069,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.6074807797652624,373.69409996242007,0.18134674201889536,0.34267190466607755,0.6617812852311161,0.3382187147688839
Netherlands,NL,NLD,material_cascade,Material Cascade,Keep harvest volume constant but shift 20 percent of wood fuel volume into industrial roundwood uses.,368880.0,2851240.0,1067486.4,1783753.6,445938.4,445938.4,7.729451312079809,0.8896580020827493,0.0,8918.76800000004,312156.8799999999,0.0,321075.6479999999,0.8704067664281065,0.8704067664281065,0.7199999999999998,32107564.799999993,87.04067664281065,87.04067664281065,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.8000043082142332,395.65170245066145,0.7820078281730054,0.2204174094357958,0.1150997614400347,0.8849002385599654
Poland,PL,POL,conservation_priority,Conservation Priority,"Reduce total harvest by 15 percent, taking the cut from wood fuel first to emulate a conservation-first policy that protects standing biomass.",9488840.0,36156450.0,36156450.0,0.0,6380550.0,0.0,3.8104183440757775,0.838290108168327,-0.14793354850029283,630624.0,-2812305.0,4148274.934351664,1966593.934351664,0.20725335597940991,0.20725335597940991,0.30821699294757726,196659393.43516642,20.725335597940994,20.725335597940994,forest_ha,True,False,conservation_priority|material_cascade|bioenergy_push,food_land_safeguard,True,0.6501437860923689,338.2780192310124,0.14126525142816843,0.11484340779675865,0.21999949414259276,0.7800005058574072
