constraint,units,reference_total,minimum_required,achieved,required_share_of_reference,achieved_share_of_reference,achieved_share_of_requirement,delta_from_required,delta_share_of_reference,delta_share_of_requirement,portfolio_total_value_eur,switch_count,switch_share,solver_status,solver_message
Biomass supply floor,m3,449288555.6136609,435809898.94525105,435810564.39415956,0.97,0.9700014811169797,1.0000015269247213,665.448908507824,1.4811169797290802e-06,1.5269247213289816e-06,2152059622.3107805,45,0.2132701421800948,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
Food-capacity safeguard floor,indexed_ha,5184867.941561313,1140670.947143489,2362455.264180404,0.22000000000000003,0.45564424992259317,2.0711102269208777,1221784.317036915,0.23564424992259314,1.0711102269208777,2152059622.3107805,45,0.2132701421800948,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
